Generation,Best,Average,Worst
0,1769.1232992053046,2117.517664048241,2482.144472020551
1,1547.4597461383082,2005.4441144213422,2271.2815953681365
2,1468.8255205136415,1926.015222464592,2316.5400565689124
3,1468.8255205136415,1857.627791603886,2451.2723000027695
4,1468.8255205136415,1826.153479731864,2155.826111129284
5,1468.8255205136415,1781.5904003468963,2085.822315473545
6,1468.8255205136415,1753.1946465775552,2105.44453322378
7,1461.07823981668,1720.7955219257015,2125.4178752546054
8,1444.5811710297123,1678.7043477520353,2040.711659708444
9,1357.859434990488,1651.3268973177387,2126.1518539171034
10,1357.859434990488,1641.3559585502514,2162.668581191775
11,1357.859434990488,1578.2550624308935,1976.3768505196467
12,1295.2726504649183,1551.9199132061012,1870.4306889650281
13,1247.7443993976528,1447.1869637911157,1924.5542434652723
14,1231.7679121531676,1365.7326085755994,1677.0978978747223
15,1181.7808814423977,1342.927724851242,1715.2067849328807
16,1173.3495372330738,1315.4881966955777,1663.3923008523855
17,1173.3495372330738,1293.076907572288,1630.1945427333328
18,1153.173326044754,1261.9372240645991,1589.8033770841369
19,1127.4846973668468,1234.7558286219137,1629.5448413692473
20,1127.4846973668468,1213.9413883647153,1590.4319764938348
21,1106.0378003397384,1203.2203543827345,1637.907377824348
22,1106.0378003397384,1177.603591446162,1669.0542947564718
23,1103.5414694934686,1180.068438685554,1792.9376641135343
24,1089.531693591609,1159.6603841604751,1545.5042725996482
25,1061.1771342807647,1146.0762315350366,1522.2938724284008
26,1061.1771342807647,1149.606539041628,1744.5893384766187
27,1061.1771342807647,1114.6529727472841,1436.6495313998712
28,1061.1771342807647,1104.5010395632366,1488.5111199707487
29,1055.6733162829444,1087.9824550051587,1500.1109488106272
30,1055.6733162829444,1082.4122378126456,1366.10736577952
31,1055.6733162829444,1095.5485061372187,1586.7239935641296
32,1049.3894027869499,1092.6518084317283,1442.898400136524
33,1049.3168011160271,1101.7792553979145,1554.1107545608925
34,1032.202575242473,1100.1962849531205,1490.8095164673653
35,1032.202575242473,1121.6140555883057,1473.5656254613416
36,1032.202575242473,1139.3422696035502,1558.2432241504841
37,1029.1239311012864,1128.313819198985,1450.4284608111311
38,1025.6791515487766,1129.304942611931,1606.6147049331144
39,1025.6791515487766,1122.9805861458956,1537.5255690325873
40,1024.185317065997,1108.9182638947843,1501.8103327826327
41,1020.1182280121133,1100.947237012117,1488.2786809896502
42,1020.1182280121133,1082.3066035445331,1586.7634120432328
43,1018.9088638743898,1070.0663431127596,1468.7129207356556
44,1018.8237437071247,1070.5533507548892,1383.3003880292888
45,1018.8237437071247,1080.3428178583483,1455.2544281965338
46,1018.3151900893258,1065.1044325375804,1449.9203432663853
47,984.1788146795086,1060.3240746495926,1556.906678681672
48,984.1788146795086,1056.882217283967,1534.5560024027477
49,982.3757767567212,1062.0011826515783,1567.6549665577822
50,982.3757767567212,1062.1708873458745,1544.7712278464808
51,982.3757767567212,1047.7192723381697,1544.7712278464808
52,961.1230097132691,1024.6636285814768,1455.3524499726457
53,961.1230097132691,1025.9524602504957,1515.4788100990133
54,961.1230097132691,1011.6742079937524,1438.3730135822311
55,957.1173538696443,1017.511304647597,1453.3042315308653
56,957.1173538696443,1006.2400386966087,1405.2993538046444
57,957.1173538696443,1002.848534057255,1428.6235062795442
58,957.1173538696443,987.0538377465368,1641.4626862229047
59,957.1173538696443,997.1655227693863,1352.461934475278
60,957.1173538696443,1003.094772459541,1464.1495431998476
61,957.1173538696443,993.307648860936,1353.3495256846718
62,953.0996900458309,997.7896994155226,1665.0314282413597
63,953.0996900458309,995.5481678432028,1665.0314282413597
64,953.0996900458309,996.8402886296716,1443.3389892767054
65,953.0996900458309,1001.7178632078372,1426.0700528594564
66,953.0996900458309,998.3945406719038,1383.5938747884131
67,953.0996900458309,991.3661608772969,1546.8761517455887
68,953.0996900458309,986.4323925969366,1661.0137644175463
